Raman Shift (cm-1),reference styrene
3400,34.2151374816895
3399,32.9800300598145
3398,35.4569435119629
3397,42.9248428344727
3396,42.8743476867676
3395,40.7658576965332
3394,42.2070045471191
3393,43.5864791870117
3392,40.5009574890137
3391,44.4378242492676
3390,49.4106712341309
3389,48.5175094604492
3388,48.7736511230469
3387,46.4291114807129
3386,46.1266899108887
3385,44.3744621276855
3384,37.5400047302246
3383,44.5274925231934
3382,43.1638069152832
3381,33.5739707946777
3380,34.5820999145508
3379,42.0741271972656
3378,38.0853004455566
3377,33.2467308044434
3376,36.8997840881348
3375,36.3672065734863
3374,31.7029552459717
3373,31.7794933319092
3372,33.1474418640137
3371,28.736442565918
3370,31.8582382202148
3369,34.4671096801758
3368,37.2223052978516
3367,42.6365089416504
3366,38.9387016296387
3365,31.4803428649902
3364,30.6431465148926
3363,33.5377388000488
3362,28.533317565918
3361,27.5915088653564
3360,32.4095306396484
3359,35.7714576721191
3358,34.6157569885254
3357,37.6527481079102
3356,42.1971778869629
3355,47.4618949890137
3354,51.6741943359375
3353,48.4590950012207
3352,54.174861907959
3351,60.6088447570801
3350,59.7658462524414
3349,64.4058074951172
3348,68.7945251464844
3347,72.7172393798828
3346,78.8366470336914
3345,85.2117691040039
3344,86.3888854980469
3343,92.0916442871094
3342,99.8429336547852
3341,101.542182922363
3340,107.639625549316
3339,120.540313720703
3338,131.061416625977
3337,133.746368408203
3336,136.529296875
3335,141.250732421875
3334,144.795028686523
3333,150.904693603516
3332,165.392150878906
3331,172.265853881836
3330,179.182907104492
3329,189.139434814453
3328,195.600616455078
3327,204.926986694336
3326,193.528335571289
3325,191.513153076172
3324,221.087142944336
3323,210.722427368164
3322,189.211532592773
3321,179.545227050781
3320,173.479598999023
3319,164.994903564453
3318,176.065643310547
3317,175.46989440918
3316,154.467208862305
3315,152.832077026367
3314,147.280654907227
3313,140.15119934082
3312,131.198318481445
3311,112.689605712891
3310,106.334457397461
3309,107.394401550293
3308,111.119850158691
3307,111.621353149414
3306,91.7353210449219
3305,89.2249069213867
3304,83.3873443603516
3303,56.842945098877
3302,66.7223587036133
3301,68.8039779663086
3300,61.4760093688965
3299,60.4852867126465
3298,52.070556640625
3297,51.5394897460938
3296,46.1321983337402
3295,32.8109741210938
3294,33.9238586425781
3293,44.725902557373
3292,45.9750900268555
3291,37.668270111084
3290,35.7061309814453
3289,35.2119102478027
3288,27.277946472168
3287,25.5984573364258
3286,39.1811637878418
3285,34.7695808410645
3284,23.8055267333984
3283,21.0117435455322
3282,23.7421646118164
3281,22.6346664428711
3280,30.1091899871826
3279,33.5649147033691
3278,23.6172275543213
3277,21.8584690093994
3276,25.8191089630127
3275,32.8232078552246
3274,37.7624931335449
3273,32.6341514587402
3272,26.1383781433105
3271,22.6429901123047
3270,23.0599670410156
3269,26.4359569549561
3268,26.2671451568604
3267,29.1825733184814
3266,32.5690460205078
3265,27.3790950775146
3264,27.2420444488525
3263,30.0354270935059
3262,30.7185764312744
3261,29.8563175201416
3260,28.6894340515137
3259,22.4639987945557
3258,21.1046142578125
3257,30.4360542297363
3256,26.9904537200928
3255,20.698823928833
3254,21.9377555847168
3253,27.6023197174072
3252,28.2126560211182
3251,22.6910381317139
3250,17.9729804992676
3249,19.7474956512451
3248,22.9611892700195
3247,14.6953744888306
3246,13.1881074905396
3245,23.8483982086182
3244,17.568717956543
3243,16.8161220550537
3242,15.5060157775879
3241,8.73357486724854
3240,14.9545965194702
3239,18.2203044891357
3238,17.8163471221924
3237,16.3829116821289
3236,10.503155708313
3235,10.9823884963989
3234,13.1835594177246
3233,14.1096801757813
3232,18.3147296905518
3231,17.3918876647949
3230,12.3841514587402
3229,12.536735534668
3228,19.6195487976074
3227,13.9041347503662
3226,12.3544893264771
3225,20.8749084472656
3224,22.3323459625244
3223,17.4957122802734
3222,19.1550922393799
3221,20.8193340301514
3220,12.7736940383911
3219,22.3163967132568
3218,31.7527713775635
3217,27.0914936065674
3216,22.0879726409912
3215,34.778190612793
3214,35.5591773986816
3213,29.3213348388672
3212,39.9596977233887
3211,39.9001922607422
3210,40.413257598877
3209,43.8538932800293
3208,41.7767753601074
3207,44.892219543457
3206,48.078239440918
3205,50.8115043640137
3204,55.5565185546875
3203,54.918571472168
3202,52.8585014343262
3201,56.5237083435059
3200,64.4245300292969
3199,64.9915313720703
3198,70.1050415039063
3197,74.5112228393555
3196,69.8478622436523
3195,73.8568420410156
3194,75.7146759033203
3193,75.3070907592773
3192,80.3964462280273
3191,84.0235214233398
3190,85.2433242797852
3189,82.4815979003906
3188,81.2144927978516
3187,94.850700378418
3186,93.2530364990234
3185,86.0767364501953
3184,94.4671249389648
3183,91.8194274902344
3182,93.6595687866211
3181,97.4615783691406
3180,94.5069351196289
3179,103.760009765625
3178,101.252044677734
