Raman Shift (cm-1),reference isoprene
3400,2.28675365447998
3399,1.95679819583893
3398,3.32775068283081
3397,9.41940212249756
3396,4.7058801651001
3395,3.62927436828613
3394,8.32154369354248
3393,7.61100625991821
3392,5.91314029693604
3391,9.99992179870605
3390,7.49827671051025
3389,-0.444496363401413
3388,7.17011499404907
3387,7.38352108001709
3386,-0.226338505744934
3385,-3.16602969169617
3384,2.77965521812439
3383,8.41067504882813
3382,6.08658218383789
3381,4.13689565658569
3380,8.58865737915039
3379,7.63124084472656
3378,9.65534114837646
3377,6.65957689285278
3376,-0.488916546106339
3375,4.7240047454834
3374,5.19398736953735
3373,5.99858331680298
3372,10.1909160614014
3371,10.6654863357544
3370,10.4517307281494
3369,10.9003009796143
3368,6.06430912017822
3367,0.642804205417633
3366,12.1965246200562
3365,12.1895427703857
3364,4.38435983657837
3363,6.30834865570068
3362,13.4067468643188
3361,8.7876672744751
3360,6.03344774246216
3359,11.6833095550537
3358,13.7996959686279
3357,10.0698394775391
3356,4.62805700302124
3355,6.58002853393555
3354,14.6147861480713
3353,12.0191478729248
3352,10.157338142395
3351,10.5219821929932
3350,10.8710289001465
3349,15.6276836395264
3348,18.5131340026855
3347,18.3953075408936
3346,16.1420650482178
3345,13.5837602615356
3344,17.3272342681885
3343,21.4794311523438
3342,23.0388984680176
3341,22.8638172149658
3340,18.4492893218994
3339,19.5490264892578
3338,25.6810035705566
3337,30.823974609375
3336,34.5368728637695
3335,32.8726425170898
3334,29.8302745819092
3333,31.0868015289307
3332,33.4838447570801
3331,25.6660575866699
3330,30.7521667480469
3329,43.3542594909668
3328,36.5782165527344
3327,34.113353729248
3326,31.1814289093018
3325,27.426628112793
3324,30.4905090332031
3323,35.4407501220703
3322,37.5539588928223
3321,33.6563911437988
3320,29.7822856903076
3319,35.4763488769531
3318,29.7696208953857
3317,22.2256145477295
3316,25.1806240081787
3315,27.9806747436523
3314,24.4864158630371
3313,25.9918880462646
3312,27.8583106994629
3311,16.9144325256348
3310,15.1669921875
3309,21.3851375579834
3308,23.1168842315674
3307,17.0964546203613
3306,15.8208465576172
3305,18.6658992767334
3304,19.3308067321777
3303,15.7815036773682
3302,13.5922250747681
3301,15.2575998306274
3300,14.6622562408447
3299,10.649658203125
3298,12.9987487792969
3297,20.6801090240479
3296,21.121955871582
3295,14.2466974258423
3294,13.6295032501221
3293,12.8649396896362
3292,7.69825506210327
3291,5.16923475265503
3290,10.4764671325684
3289,7.95670509338379
3288,8.42041492462158
3287,11.7827157974243
3286,9.70392799377441
3285,13.2147550582886
3284,10.7968397140503
3283,4.78976249694824
3282,7.52225923538208
3281,14.7757272720337
3280,8.84048080444336
3279,4.89011812210083
3278,13.8498935699463
3277,12.0163803100586
3276,10.1317596435547
3275,13.3318796157837
3274,14.5469655990601
3273,8.62285709381104
3272,9.47415161132813
3271,14.912181854248
3270,16.6841125488281
3269,13.6384115219116
3268,9.52071380615234
3267,6.6684398651123
3266,8.62370014190674
3265,14.5617818832397
3264,11.0321311950684
3263,8.97891807556152
3262,12.2393970489502
3261,11.2575521469116
3260,6.27961349487305
3259,8.47927474975586
3258,12.9681234359741
3257,10.7861051559448
3256,13.9467010498047
3255,17.0564155578613
3254,14.426778793335
3253,10.7337427139282
3252,14.6128339767456
3251,10.2424745559692
3250,4.250328540802
3249,9.72976779937744
3248,15.1080961227417
3247,4.91641092300415
3246,-1.8785148859024
3245,8.04336547851563
3244,12.2773666381836
3243,8.58866119384766
3242,7.4583044052124
3241,10.8216381072998
3240,9.04942417144775
3239,10.2067852020264
3238,12.0387544631958
3237,11.82630443573
3236,11.8064680099487
3235,4.17806959152222
3234,1.53428208827972
3233,8.50582408905029
3232,11.7209348678589
3231,10.5026206970215
3230,7.13262557983398
3229,7.34923839569092
3228,13.9232769012451
3227,14.6797428131104
3226,10.7592573165894
3225,8.79190826416016
3224,11.2182579040527
3223,14.0894327163696
3222,14.5733318328857
3221,9.13151264190674
3220,2.32680654525757
3219,13.2877445220947
3218,16.0789947509766
3217,9.51502990722656
